Current_980,Power_980_forward,Power_980_backward,Bandwidth_980_forward,Bandwidth_980_backward,Mean_wavelength_980_forward,Mean_wavelength_980_backward,Current_1480,Power_1480_forward,Power_1480_backward,Bandwidth_1480_forward,Bandwidth_1480_backward,Mean_wavelength_1480_forward,Mean_wavelength_1480_backward
0.0,0.09062360204526404,2.384216378520325,3.5428846533149625e-8,1.4771691051508503e-8,1.5399659887851114e-6,1.5359579343949944e-6,0.0,0.1918864695556621,13.481825558011996,2.6271762095580398e-8,1.0282915960806586e-8,1.5376441127030342e-6,1.5335340416408295e-6
0.05,0.09636252490402542,2.8058454099941064,3.453443627916821e-8,1.4148366932746663e-8,1.5397754081922771e-6,1.5356636252720622e-6,0.15,0.17186783866695515,11.197337786461631,2.729816399117548e-8,1.0578109713124055e-8,1.5379973379517503e-6,1.5337341901239088e-6
0.1,0.12300505787871113,5.280938519867725,3.120719447397891e-8,1.2191822756425397e-8,1.5390278693276137e-6,1.534667372901968e-6,0.2,0.16408132185703622,10.235880097092727,2.7781519728556145e-8,1.0737371903485881e-8,1.5381424210918651e-6,1.5338340749918095e-6
0.15,0.15128850978999545,8.890046474822881,2.8691356590560757e-8,1.1008566919797374e-8,1.5384180586032419e-6,1.5340052770515958e-6,0.25,0.15768509464667038,9.42535831551632,2.8213590004029937e-8,1.0891488360192226e-8,1.538265734496299e-6,1.5339281055530844e-6
0.2,0.17988092069403433,13.615427879351712,2.680077414395406e-8,1.0247763561549625e-8,1.5379304167425073e-6,1.5335546498967935e-6,0.3,0.1523848102293738,8.754842350038356,2.8596655072601692e-8,1.1035566262002186e-8,1.5383713234746828e-6,1.534014351648249e-6
0.25,0.20792547304327177,19.333223053493622,2.5360605792278108e-8,9.729379552997484e-9,1.5375395865738304e-6,1.533237156849828e-6,0.4,0.14409741337468931,7.724191391448317,2.9244698823209707e-8,1.1293856303050292e-8,1.538543343325227e-6,1.5341656932035327e-6
0.3,0.23496188164578266,25.880124212132884,2.424017086986051e-8,9.357826602016926e-9,1.5372225998429043e-6,1.5330051497587665e-6,0.5,0.13804227397650037,6.9910931134194305,2.9758932830016396e-8,1.1512206050754803e-8,1.5386750435924055e-6,1.5342909085970105e-6
0.4,0.28537975785267905,40.845821331189256,2.2623300614531247e-8,8.864430435762355e-9,1.5367430241601376e-6,1.532692979892048e-6,0.7000000000000001,0.1299441699847768,6.047746687465287,3.050632748188595e-8,1.1850819616484922e-8,1.5388601457668983e-6,1.5344808266026485e-6
0.5,0.33101346341179466,57.5139801907891,2.151390907057796e-8,8.551748175527061e-9,1.5363973808342655e-6,1.5324941207027222e-6,1.0,0.12300505787871113,5.280938519867725,3.120719447397891e-8,1.2191822756425397e-8,1.5390278693276137e-6,1.534667372901968e-6
