930	0.391486602
930.172	0.262306563
930.345	0.30536508
930.517	0.334071589
930.69	0.247954054
930.862	0.276659237
931.034	0.255130286
931.207	0.276659237
931.379	0.355601906
931.552	0.291012075
931.724	0.36995566
931.897	0.262306563
932.069	0.319718252
932.241	0.348425093
932.414	0.204897517
932.586	0.30536508
932.759	0.298188557
932.931	0.36995566
933.103	0.298188557
933.276	0.326894899
933.448	0.362778761
933.621	0.291012075
933.793	0.334071589
933.966	0.326894899
934.138	0.291012075
934.31	0.298188557
934.483	0.30536508
934.655	0.30536508
934.828	0.298188557
935	0.362778761
935.172	0.348425093
935.345	0.362778761
935.517	0.269482878
935.69	0.262306563
935.862	0.30536508
936.034	0.247954054
936.207	0.362778761
936.379	0.262306563
936.552	0.269482878
936.724	0.355601906
936.897	0.334071589
937.069	0.291012075
937.241	0.247954054
937.414	0.362778761
937.586	0.319718252
937.759	0.291012075
937.931	0.283835634
938.103	0.240777859
938.276	0.334071589
938.448	0.319718252
938.621	0.312541644
938.793	0.255130286
938.966	0.312541644
939.138	0.319718252
939.31	0.30536508
939.483	0.30536508
939.655	0.298188557
939.828	0.36995566
940	0.348425093
940.172	0.398663665
940.345	0.326894899
940.517	0.334071589
940.69	0.355601906
940.862	0.348425093
941.034	0.362778761
941.207	0.326894899
941.379	0.36995566
941.552	0.420195109
941.724	0.427372339
941.897	0.34124832
942.069	0.348425093
942.241	0.384309577
942.414	0.391486602
942.586	0.384309577
942.759	0.405840772
942.931	0.391486602
943.103	0.41301792
943.276	0.391486602
943.448	0.377132596
943.621	0.41301792
943.793	0.420195109
943.966	0.477614132
944.138	0.463259123
944.31	0.420195109
944.483	0.427372339
944.655	0.463259123
944.828	0.448904284
945	0.456081682
945.172	0.499146957
945.345	0.463259123
945.517	0.491969308
945.69	0.484791699
945.862	0.456081682
946.034	0.470436605
946.207	0.441726928
946.379	0.499146957
946.552	0.477614132
946.724	0.527857984
946.897	0.513502386
947.069	0.556569683
947.241	0.549391696
947.414	0.54221375
947.586	0.599638502
947.759	0.59246026
947.931	0.621173484
948.103	0.59246026
948.276	0.635530352
948.448	0.649887391
948.621	0.635530352
948.793	0.64270885
948.966	0.664244597
949.138	0.678601976
949.31	0.657065974
949.483	0.657065974
949.655	0.678601976
949.828	0.721675137
950	0.743212296
950.172	0.743212296
950.345	0.793467172
950.517	0.815005618
950.69	0.843724155
950.862	0.879623301
951.034	0.858083684
951.207	0.901163308
951.379	0.915523529
951.552	0.965785678
951.724	0.922703705
951.897	0.987327254
952.069	1.023230757
952.241	1.044773383
952.414	1.051954348
952.586	1.109403642
952.759	1.123766407
952.931	1.159674095
953.103	1.181219239
953.276	1.245857074
953.448	1.25303928
953.621	1.296133448
953.793	1.288950975
953.966	1.367960652
954.138	1.396692795
954.31	1.425425661
954.483	1.461342766
954.655	1.497261004
954.828	1.533180382
955	1.569100902
955.172	1.590653763
955.345	1.626576119
955.517	1.698424284
955.69	1.741535405
955.862	1.770277081
956.034	1.849320538
956.207	1.885251251
956.379	1.921183141
956.552	1.964302966
956.724	2.028985896
956.897	2.079297503
957.069	2.136799345
957.241	2.143987292
957.414	2.201492587
957.586	2.280567405
957.759	2.352458696
957.931	2.402785499
958.103	2.453114702
958.276	2.489065604
958.448	2.553780342
958.621	2.654455698
958.793	2.719180733
958.966	2.776717513
959.138	2.827064842
959.31	2.87022167
959.483	2.949347277
959.655	3.050061552
959.828	3.15078593
960	3.193956633
960.172	3.244324829
960.345	3.34506892
960.517	3.417035314
960.69	3.474612251
960.862	3.546588221
961.034	3.640165003
961.207	3.690556279
961.379	3.79854655
961.552	3.884947621
961.724	3.94975363
961.897	4.057773623
962.069	4.115389415
962.241	4.201819845
962.414	4.28825841
962.586	4.389113758
962.759	4.432340914
962.931	4.504390778
963.103	4.569240608
963.276	4.684540839
963.448	4.778233336
963.621	4.850311287
963.793	4.929603904
963.966	5.030532264
964.138	5.102631186
964.31	5.203579882
964.483	5.239635886
964.655	5.34060088
964.828	5.448791116
965	5.513711987
965.172	5.600281058
965.345	5.665213824
965.517	5.795094809
965.69	5.845609681
965.862	5.896127708
966.034	6.018827562
966.207	6.09823163
966.379	6.155985033
966.552	6.278725067
966.724	6.293166333
966.897	6.365376676
967.069	6.488149689
967.241	6.553155086
967.414	6.63261362
967.586	6.733754675
967.759	6.791555639
967.931	6.89994444
968.103	6.928850778
968.276	7.030031822
968.448	7.080627538
968.621	7.17460026
968.793	7.268585086
968.966	7.304736336
969.138	7.384275463
969.31	7.449359478
969.483	7.528914663
969.655	7.622945924
969.828	7.702520629
970	7.767633926
970.172	7.883405931
970.345	7.934062274
970.517	8.013672636
970.69	8.115008321
970.862	8.194639822
971.034	8.296002609
971.207	8.390138939
971.379	8.462560572
971.552	8.506017358
971.724	8.636404956
971.897	8.745081194
972.069	8.911753626
972.241	8.911753626
972.414	9.013227682
972.586	9.172719809
972.759	9.317747923
972.931	9.390274705
973.103	9.477318129
973.276	9.600650889
973.448	9.825616661
973.621	9.847392033
973.793	9.97806107
973.966	10.116021
974.138	10.2176966
974.31	10.38477402
974.483	10.56643548
974.655	10.69726804
974.828	10.78450681
975	10.95902575
975.172	11.22818548
975.345	11.33006491
975.517	11.45380198
975.69	11.56300595
975.862	11.78148279
976.034	12.02191505
976.207	12.17497713
976.379	12.41559874
976.552	12.43018566
976.724	12.54689678
976.897	12.6636361
977.069	12.78040388
977.241	12.99211892
977.414	13.02132849
977.586	13.14548967
977.759	13.29891139
977.931	13.19662455
978.103	13.33544796
978.276	13.37929571
978.448	13.32814041
978.621	13.29160443
978.793	13.16009905
978.966	13.0505399
979.138	12.88259926
979.31	12.86799856
979.483	12.58337477
979.655	12.5250113
979.828	12.22600827
980	11.9417583
980.172	11.81062004
980.345	11.75963094
980.517	11.4028479
980.69	11.28639991
980.862	11.04630612
981.034	10.88630278
981.207	10.65365378
981.379	10.61004293
981.552	10.29759712
981.724	10.15959408
981.897	9.934501514
982.069	9.840133488
982.241	9.716751727
982.414	9.520844483
982.586	9.426541297
982.759	9.412034403
982.931	9.288739593
983.103	9.078469582
983.276	8.933496705
983.448	8.810295695
983.621	8.795803014
983.793	8.600183575
983.966	8.426348766
984.138	8.332207319
984.31	8.180160669
984.483	8.143964147
984.655	7.905115337
984.828	7.724224387
985	7.594011897
985.172	7.579545329
985.345	7.348120224
985.517	7.167371163
985.69	7.095084097
985.862	6.928850778
986.034	6.813232146
986.207	6.66150969
986.379	6.63261362
986.552	6.495372239
986.724	6.329270667
986.897	6.170424043
987.069	6.177643648
987.241	5.975519585
987.414	5.845609681
987.586	5.730151732
987.759	5.737367374
987.931	5.578637941
988.103	5.456004297
988.276	5.383875298
988.448	5.290116875
988.621	5.268481796
988.793	5.203579882
988.966	5.081000874
989.138	4.972857474
989.31	5.016113205
989.483	4.922395186
989.655	4.785440864
989.828	4.698954421
990	4.655714378
990.172	4.569240608
990.345	4.569240608
990.517	4.562034838
990.69	4.453955268
990.862	4.367500953
991.034	4.281054884
991.207	4.237834921
991.379	4.144198659
991.552	4.209022746
991.724	4.180211478
991.897	4.072177234
992.069	4.000161404
992.241	3.935351908
992.414	3.920950409
992.586	3.870546894
992.759	3.834546037
992.931	3.791346817
993.103	3.719352486
993.276	3.65456224
993.448	3.611371178
993.621	3.57538011
993.793	3.568182058
993.966	3.496204481
994.138	3.445823357
994.31	3.467414947
994.483	3.388248122
994.655	3.316283842
994.828	3.26591198
995	3.215542688
995.172	3.179566191
995.345	3.222738144
995.517	3.165175956
995.69	3.093227902
995.862	3.078838911
996.034	3.035673183
996.207	2.927766955
996.379	2.90618709
996.552	2.863028737
996.724	2.827064842
996.897	2.827064842
997.069	2.776717513
997.241	2.819872214
997.414	2.697605271
997.586	2.625690313
997.759	2.589734706
997.931	2.589734706
998.103	2.582543735
998.276	2.532208319
998.448	2.467494916
998.621	2.424354862
998.793	2.417165026
998.966	2.381216577
999.138	2.366837537
999.31	2.388406169
999.483	2.330890797
999.655	2.338080049
999.828	2.187115972
1000	2.187115972
1000.17	2.143987292
1000.34	2.172739552
1000.52	2.172739552
1000.69	2.122423597
1000.86	2.06492252
1001.03	2.057735099
1001.21	2.021798715
1001.38	1.993050462
1001.55	1.949929502
1001.72	1.892437537
1001.9	1.834948579
1002.07	1.849320538
1002.24	1.878065015
1002.41	1.856506586
1002.59	1.813390992
1002.76	1.748720755
1002.93	1.705609356
1003.1	1.684054282
1003.28	1.626576119
1003.45	1.612207039
1003.62	1.648130084
1003.79	1.648130084
1003.97	1.633760727
1004.14	1.547548451
1004.31	1.518812492
1004.48	1.497261004
1004.66	1.475709923
1004.83	1.511628618
1005	1.504444787
1005.17	1.490077264
1005.34	1.353594851
1005.52	1.346412018
1005.69	1.267403825
1005.86	1.317681137
1006.03	1.339229232
1006.21	1.317681137
1006.38	1.25303928
1006.55	1.181219239
1006.72	1.138129348
