930,0.0
930.172,0.0
930.345,0.0
930.517,0.0
930.69,0.0
930.862,0.0
931.034,0.0
931.207,0.0
931.379,0.0
931.552,0.0
931.724,0.0
931.897,0.0
932.069,0.0
932.241,0.0
932.414,0.0
932.586,0.0
932.759,0.0
932.931,0.0
933.103,0.0
933.276,0.0
933.448,0.0
933.621,0.0
933.793,0.0
933.966,0.0
934.138,0.0
934.31,0.0
934.483,0.0
934.655,0.0
934.828,0.0
935,0.0
935.172,0.0
935.345,0.0
935.517,0.0
935.69,0.0
935.862,0.0
936.034,0.0
936.207,0.0
936.379,0.0
936.552,0.0
936.724,0.0
936.897,0.0
937.069,0.0
937.241,0.0
937.414,0.0
937.586,0.0
937.759,0.0
937.931,0.0
938.103,0.0
938.276,0.0
938.448,0.0
938.621,0.0
938.793,0.0
938.966,0.0
939.138,0.0
939.31,0.0
939.483,0.0
939.655,0.0
939.828,0.0
940,0.0
940.172,0.0
940.345,0.0
940.517,0.0
940.69,0.0
940.862,0.0
941.034,0.0
941.207,0.0
941.379,0.0
941.552,0.0
941.724,0.0
941.897,0.0
942.069,0.0
942.241,0.0
942.414,0.0
942.586,0.0
942.759,0.0
942.931,0.0
943.103,0.0
943.276,0.0
943.448,0.0
943.621,0.0
943.793,0.0
943.966,0.0
944.138,0.0
944.31,0.0
944.483,0.0
944.655,0.0
944.828,0.0
945,0.0
945.172,0.0
945.345,0.0
945.517,0.0
945.69,0.0
945.862,0.0
946.034,0.0
946.207,0.0
946.379,0.0
946.552,0.0
946.724,0.0
946.897,0.0
947.069,0.0
947.241,0.0
947.414,0.0
947.586,0.0
947.759,0.0
947.931,0.0
948.103,0.0
948.276,0.0
948.448,0.0
948.621,0.0
948.793,0.0
948.966,0.0
949.138,0.0
949.31,0.0
949.483,0.0
949.655,0.0
949.828,0.0
950,0.0
950.172,0.0
950.345,0.0
950.517,0.0
950.69,0.0
950.862,0.0
951.034,0.0
951.207,0.0
951.379,0.0
951.552,0.0
951.724,0.0
951.897,0.0
952.069,0.0
952.241,0.0
952.414,0.0
952.586,0.0
952.759,0.0
952.931,0.0
953.103,0.0
953.276,0.0
953.448,0.0
953.621,0.0
953.793,0.0
953.966,0.0
954.138,0.0
954.31,0.0
954.483,0.0
954.655,0.0
954.828,0.0
955,0.0
955.172,0.0
955.345,0.0
955.517,0.0
955.69,0.0
955.862,0.0
956.034,0.0
956.207,0.0
956.379,0.0
956.552,0.0
956.724,0.0
956.897,0.0
957.069,0.0
957.241,0.0
957.414,0.0
957.586,0.0
957.759,0.0
957.931,0.0
958.103,0.0
958.276,0.0
958.448,0.0
958.621,0.0
958.793,0.0
958.966,0.0
959.138,0.0
959.31,0.0
959.483,0.0
959.655,0.0
959.828,0.0
960,0.0
960.172,0.0
960.345,0.0
960.517,0.0
960.69,0.0
960.862,0.0
961.034,0.0
961.207,0.0
961.379,0.0
961.552,0.0
961.724,0.0
961.897,0.0
962.069,0.0
962.241,0.0
962.414,0.0
962.586,0.0
962.759,0.0
962.931,0.0
963.103,0.0
963.276,0.0
963.448,0.0
963.621,0.0
963.793,0.0
963.966,0.0
964.138,0.0
964.31,0.0
964.483,0.0
964.655,0.0
964.828,0.0
965,0.0
965.172,0.0
965.345,0.0
965.517,0.0
965.69,0.0
965.862,0.0
966.034,0.0
966.207,0.0
966.379,0.0
966.552,0.0
966.724,0.0
966.897,0.0
967.069,0.0
967.241,0.0
967.414,0.0
967.586,0.0
967.759,0.0
967.931,0.0
968.103,0.0
968.276,0.0
968.448,0.0
968.621,0.0
968.793,0.0
968.966,0.0
969.138,0.0
969.31,0.0
969.483,0.0
969.655,0.0
969.828,0.0
970,0.0
